Title,Artist,Album,TrackURI
Give You My Heart,IU,Crash Landing on You OST Part 11,spotify:track:6dGsBRuavumBs5BghcXF3D
Coin,IU,IU 5th Album 'LILAC',spotify:track:7CZRguMolNqIobnXxpV735
My sea,IU,IU 5th Album 'LILAC',spotify:track:46wDG6evLn2iPoQ0F8CUWk
Hold my hand,IU,My Last Love OST Part.4,spotify:track:0KVClXxsZEKkyWRNXeRFrE
DIVINE,Girls' Generation,THE BEST (New Edition),spotify:track:5SH8PV6RhyzlYW4PSsoRtB
우리 사랑했잖아,DAVICHI;T-ARA,우리 사랑했잖아,spotify:track:0UjaZizYPg1UWH96ybOZ0n
기억해줘요 내 모든 날과 그때를,GUMMY,Hotel del Luna (Original Television Soundtrack) Pt.7,spotify:track:4KhbUwFrXleCAGi6Yq8aYT
You Are My Everything,GUMMY,Descendants Of The Sun Pt.4 (Original Television Soundtrack),spotify:track:4s80CRYk3rRPZE56NvmFi7
Everytime,CHEN;Punch,Descendants Of The Sun Pt.2 (Original Television Soundtrack),spotify:track:1D6lK8qADoErTTLkY4YBfM
Round And Round,Heize;Han Suji,"Guardian (Original Television Soundtrack), Pt. 14",spotify:track:3vAncbML0jhNrp63DKhsCo
내 맘을 볼 수 있나요,Heize,Hotel del Luna (Original Television Soundtrack) Pt. 5,spotify:track:4bqgWdz5qs4Q5LHZ8un9PR
HOT,LE SSERAFIM,HOT (English ver.) (feat. JADE),spotify:track:24Y63uAvj6Oc9jGuTlhlgf
Bubble Gum,NewJeans,How Sweet,spotify:track:19D8LNpWwIPpi6hs9BG7dq
ONE SPARK,TWICE,With YOU-th,spotify:track:7cIn67LEvk16v6komC8znS
Promise,Girls' Generation,I GOT A BOY - The 4th Album,spotify:track:5ZSfWneqLDLRvSmedSAeWS
삐빅 (♥beats),IVE,IVE SECRET,spotify:track:4AFKzeKojgWujD7gEUmWCd
"Dear, My Feelings",IVE,IVE SECRET,spotify:track:1U9odXaCgEULNvYBXJBn43
XOXZ,IVE,IVE SECRET,spotify:track:3L9KMc8ImDXgDYKwdqq01V
YES or YES,TWICE,YES or YES,spotify:track:26OVhEqFDQH0Ij77QtmGP9
Fire,2NE1,2NE1 1st Mini Album,spotify:track:2EwOnaGCrPjbmyZlt76NN4
Girls Will Be Girls,ITZY,Girls Will Be Girls,spotify:track:373C7aTyGRJw7sVT4UG6Fh
Not Shy,ITZY,Not Shy,spotify:track:1ehags7lQMM1qX94VJkoaf
