Title,Artist,Album,TrackURI
不藥而癒 - 第三波,郭靜,下一個天亮,spotify:track:31VWgseQeMXzcNdOD4N9Xu
聊天,郭靜,你 朋友,spotify:track:2TNewzG8pEnxOSg7lBPNq7
我不想忘記你,郭靜,我不想忘記你,spotify:track:6sNXFtBPUvyFWEjSZhEwbd
分開不是誰不好,郭靜,我們曾相愛,spotify:track:1RE7hhxqUf33xMEZXaFsJJ
想個不停,郭靜,我不想忘記你,spotify:track:7KVLUj7CGyszm2oGQrPsPU
仨人,郭靜,我不想忘記你,spotify:track:23ilfdz398hTTmQecjfWUZ
忘了如何遺忘 - 電視劇《聶小倩》片尾曲,郭靜,我們曾相愛,spotify:track:674nj6KAb3IZPnZsyyBa6R
原来你都在,丁噹,當我的好朋友,spotify:track:3T6mn1NRGcqsC3P4pwveXN
很愛過,丁噹,未來的情人,spotify:track:0UCqLAn0cPPkND4YTaUQ73
滄海一聲笑,任賢齊,為愛走天涯,spotify:track:6dUXPqUSFDpH87H3fVxcAx
春天花會開,任賢齊,為愛走天涯,spotify:track:7cGep0ZtJKoObFSyMLpvNr
乾啦 乾啦 (feat. 阿信 & 任賢齊),八三夭;五月天 阿信;任賢齊,生存指南,spotify:track:5ZHspZHTPFFeuwujrHab1j
任逍遙,任賢齊,愛像太平洋,spotify:track:1006LKaYSxd86Jz4SzfF9a
我是一隻魚,任賢齊,任賢齊 Love & Beloved 2008 演唱會,spotify:track:0RKnZROYxDQojVXVlBBhOx
對面的女孩看過來,任賢齊,愛像太平洋,spotify:track:0d15NQr4odx2XoDGZ4AZUh
浪花一朵朵,任賢齊;阿牛;光良,影視歌全集,spotify:track:4z6Pu6AblxbQ0bFkOYkGK0
心太軟,任賢齊,心太軟,spotify:track:3nlN7Yt8JOLE9WJDh767fZ
傷心太平洋,任賢齊,任賢齊 Love & Beloved 2008 演唱會,spotify:track:0sFTMZdnVtnmqj9rymmCDU
愛要怎麼說,伍思凱,愛要怎麼說,spotify:track:1gYEgQYO5hArDSGaEEEWLv
大海,張雨生,大海,spotify:track:4XglvuvmwdVQ1MpV3zNUnR
天天想你,張雨生,天天想你,spotify:track:7mubQiRZ1Q94ZN3zCrNbzn
我的未來不是夢,張雨生,六個朋友,spotify:track:7waQoUkjuQEEPlWv9ImbnW
哭砂,周華健,花旦,spotify:track:5nVQgNTOH89Uhz1fzFlkDj
最近比較煩,周華健;李宗盛;品冠,滾石香港黃金十年-周華健精選,spotify:track:0cdD41ei03AR3cAynWDIoV
是否我真的一無所有 - Remastered,王傑,是否我真的一無所有 (Remastered),spotify:track:7aHl14BEvCB1cnSKOuKd5s
圓謊 - Remastered,張宇,好男人的情歌 (Remastered),spotify:track:7q4WMXkSyWMvtrsQJz4jDz
情有獨鍾,張宇,奇蹟,spotify:track:2lUAPoJFBQuWunlqhAickf
小小的太陽,張宇,奇蹟,spotify:track:67uIkTS5yjHw5HjEnnbUtk
讓我忘記你的臉,張信哲,永恆金曲 影音典藏精選,spotify:track:1kPgIrlhNoimopbCZoX40J
曾經愛過,張信哲,永恆金曲 影音典藏精選,spotify:track:09OJDcUJheRiflTPJPH0sJ
說謊,張信哲,做你的男人,spotify:track:4vRzn9h579C8OYHPMSMdZx
我是真的愛你,張信哲,絕對收藏張信哲,spotify:track:22HdycXQ3iLpvGxOm13tBq
做你的男人,張信哲,做你的男人,spotify:track:6hpUKgt7d9FzegzAa5mahK
用情,張信哲,摯愛,spotify:track:3JaWWTMPwZ6CL78KZMyZil
別怕我傷心,張信哲,永恆金曲 影音典藏精選,spotify:track:0CqMeKYJQ6xn3K9jkLwmXk
愛如潮水,張信哲,永恆金曲 影音典藏精選,spotify:track:4dJa5tv7G7r1tEfr4sVUkZ
我會想念妳,張震嶽,阿嶽正傳,spotify:track:5Kl7sMEfSXvKUisxOECUZJ
雙手插口袋,頑童Mj116;張震嶽,Fresh Game,spotify:track:14xaFtHDCgkDSlzvXiKN5N
秘密,張震嶽,這個下午很無聊,spotify:track:7yORKhsiAJB0jKaPiASEf1
愛的初體驗,張震嶽,這個下午很無聊,spotify:track:0MMxQds9WTR9OSqrCCY7Mg
布拉格廣場,JOLIN蔡依林,巨星金曲-合唱篇,spotify:track:2Ni76n15iUMcrtX0hWbvN8
另一個天堂 (with Jane Zhang),王力宏;張靚穎,巨星金曲-合唱篇,spotify:track:612oJHzJ9XhBLkITqhh6c2
招牌動作,JOLIN蔡依林,J女神 影音典藏精選,spotify:track:2UljK3znN9U1mfRblkzp6E
愛的天使,JOLIN蔡依林;安志杰,Jolin 最愛Live Concert音樂精選,spotify:track:0PfvHXtc3rbFNEDFNGGxje
反覆記號,JOLIN蔡依林,野蠻遊戲,spotify:track:3cmR9cq9lEvSR1UPJ66pDT
做一天的你,JOLIN蔡依林,看我72變,spotify:track:5qSSgb1evKd4LLhdMAduzL
好想你,JOLIN蔡依林,野蠻遊戲,spotify:track:4pbzbyCkdlLKrKPup6EZj0
假面的告白,JOLIN蔡依林,看我72變,spotify:track:0lMXIFAtDw6oONuzT3ZWND
酸甜,JOLIN蔡依林,野蠻遊戲,spotify:track:1h6OuP1HjInp2aV0qAdF4I
單身公害,JOLIN蔡依林,J9 新歌+Party 精選,spotify:track:51g1LiukwMiQDlgKz9UQXl
看我72變,JOLIN蔡依林,J女神 影音典藏精選,spotify:track:2hBFpwgiWD5UqApWaAzR4e
甜秘密,JOLIN蔡依林,Ugly Beauty,spotify:track:46XrZSbu9A8w3EMMjRPaFt
Don't Stop - Bring it all back,JOLIN蔡依林,Don't Stop,spotify:track:2mbrGHrmbqpbgf2gipzxuK
海盜,JOLIN蔡依林,城堡,spotify:track:7slRSYInTSetDoadZpVlty
Dr. Jolin,JOLIN蔡依林,MUSE,spotify:track:7IlYNrTej5gcFFRYXu7cku
You Gotta Know,JOLIN蔡依林,Don't Stop,spotify:track:4kTDY7rSSjls7ET8HJTily
愛上了一條街,JOLIN蔡依林,Show Your Love,spotify:track:45gemUf20vf0bTVZ0Wa6sv
慣性背叛,JOLIN蔡依林,J世紀Generation 大牌新曲+精選盤2006-2009,spotify:track:0vZCL4HmKMln5YMk7eR0z3
美杜莎,JOLIN蔡依林,呸,spotify:track:357seYQiIOqChwcBRpXVAo
美人計,JOLIN蔡依林,蔡依林 Myself 2010概念專輯,spotify:track:0buvXrW7vND0d9jvrBcdnQ
怪我太年輕,JOLIN蔡依林,1019,spotify:track:21IRmqTUIa2TOzJkVxaCL8
獨佔神話,JOLIN蔡依林,野蠻遊戲,spotify:track:7r1UQDuWUTGveHGPVNIjHS
無言以對,JOLIN蔡依林,蔡依林 Myself 2010概念專輯,spotify:track:6h7kGWLJa1I3w0Nj80r9me
非賣品,JOLIN蔡依林,特務J,spotify:track:2yTLMXHJgJCq2XdbWOzeMf
屋頂,吳宗憲;温嵐,吳盡的愛,spotify:track:4aYb7a2EtxPT1lZlzOcffd
怕什麼,JOLIN蔡依林,特務J,spotify:track:7z6J86PyeZjzvpqPsL8hoJ
電話皇后 (唯舞獨尊DX電玩遊戲主題曲),JOLIN蔡依林,呸,spotify:track:1RnFesg8ho5GPzGj7EXOkh
迷幻,JOLIN蔡依林,MUSE,spotify:track:16so2OIzFfKZlPwAQChJZw
野蠻遊戲,JOLIN蔡依林,野蠻遊戲,spotify:track:6JCjgGXq2mmlMLC5jL5XjF
大丈夫,JOLIN蔡依林;Nick Chou,花蝴蝶,spotify:track:6372VNOzFcWVNQipnNNMW7
Love Love Love,JOLIN蔡依林,Love Love Love,spotify:track:1vS0afZtUwJB9kEKGsxSKj
玫瑰少年 - From THE FIRST TAKE,JOLIN蔡依林,玫瑰少年 - From THE FIRST TAKE,spotify:track:4UOZ3duqmEfMKXqvkZeboh
愛無赦,JOLIN蔡依林,特務J,spotify:track:7L7b9VCRsRUcbTLj7P2Kjp
娘子,周杰倫,同名專輯,spotify:track:3nSG5EFDj06kZgrQXVnW4f
"如果可以 - 電影""月老""主題曲",韋禮安,"如果可以 (電影""月老""主題曲)",spotify:track:72OVnXDzugvrCU25lMi9au
失重前幸福,艾薇,失重前幸福,spotify:track:0NHsxQj4j6gPz8PdRc5KKh
那些年,胡夏,那些年，我們一起追的女孩 電影原聲帶,spotify:track:2MwjcKcekaSQyecQVkmGEw
超人不會飛,周杰倫,跨時代,spotify:track:0GzoTB5WntoaPlIiOZZ1ot
好久不見,周杰倫,跨時代,spotify:track:3kdcEJwcMfpqNKITFApl9r
水手怕水,周杰倫,驚嘆號,spotify:track:28Ly6mPNmP4SB5CwUFGyuh
最長的電影,周杰倫,我很忙,spotify:track:4K9bMlwogGdIpYPZ8CCl00
青花瓷,周杰倫,我很忙,spotify:track:479lquEL4Mzh3tQLtnHVfL
麥芽糖,周杰倫,11月的蕭邦,spotify:track:1YVux6eEYOi02dpnbFfp9T
安靜,周杰倫,范特西,spotify:track:4FOydQ5IdqmdeBgG9vFbPg
一路向北,周杰倫,11月的蕭邦,spotify:track:3aEb2jEXEBn3HiLLPkj3TP
愛你沒差,周杰倫,十二新作,spotify:track:28lOWzm8iKLX48FhI5EYv5
幾分之幾 - 電影<花甲大人轉男孩>主題曲,盧廣仲,幾分之幾,spotify:track:4F7ZAsndEIJXyFzJUHNlRu
楓,周杰倫,11月的蕭邦,spotify:track:2lIb7a074DL4RLCPAaGdnu
你聽聽就好,李芷婷,美麗舊世界,spotify:track:4ZUkbOJFqLSc3o5hjjMUJ5
說了再見,周杰倫,跨時代,spotify:track:4wJwThDx1A7FNGHA3eKed3
說好不哭,周杰倫;五月天 阿信,說好不哭,spotify:track:3JBhAAnxUDssrBQC9DUT99
小幸運 - 電影《我的少女時代》主題曲,田馥甄,小幸運 (電影《我的少女時代》主題曲),spotify:track:2zapgrglLRISEUlspPtdep
缺口,庾澄慶,缺口,spotify:track:26tYQnfiKZgAJohuBUCKp7
一個人還是想著一個人 - 《終極一班3》片尾曲,曾沛慈,我是曾沛慈,spotify:track:6jStVWa7OfddLSVdAxEyxR
